Storm Name,DateTime(BJT),Intensity Category,Latitude (°N),Longitude (°E),Pressure (hPa),Max Sustained Wind (m/s)
(nameless),1980031906,1,8.7,137.3,1003,15
(nameless),1980031912,1,8.8,136.8,1003,15
(nameless),1980031918,1,8.9,136.3,1003,15
(nameless),1980032000,1,9.0,136.0,1003,15
(nameless),1980032006,1,9.2,135.6,1003,15
(nameless),1980032012,1,9.2,135.2,1003,15
(nameless),1980032018,1,9.2,134.7,1003,15
(nameless),1980032100,1,9.3,134.2,1003,15
(nameless),1980032106,1,9.4,133.6,1000,15
(nameless),1980032112,1,9.7,132.5,1000,15
(nameless),1980032118,1,10.0,131.2,1000,15
(nameless),1980032200,1,10.3,130.0,1000,15
(nameless),1980032206,1,10.6,129.3,1002,15
(nameless),1980032212,1,10.7,128.4,1002,15
(nameless),1980032218,1,11.1,127.6,1002,15
(nameless),1980032300,1,11.4,126.9,1002,15
(nameless),1980032306,1,11.6,126.1,1001,15
(nameless),1980032312,1,11.8,125.1,1001,15
(nameless),1980032318,1,12.1,124.1,1002,15
(nameless),1980032400,1,12.5,123.2,1004,15
(nameless),1980032406,1,12.8,122.5,1004,15
(nameless),1980032412,1,13.0,122.0,1006,12
(nameless),1980032418,1,13.2,121.3,1006,12
(nameless),1980032500,1,13.4,120.8,1008,12
(nameless),1980032506,1,13.2,119.7,1008,12
(nameless),1980032512,1,13.1,118.8,1008,12
(nameless),1980032518,1,12.9,118.2,1008,12
(nameless),1980032600,1,12.8,117.4,1008,12
(nameless),1980032606,1,12.7,116.8,1008,12
(nameless),1980032612,1,12.4,116.2,1008,12
(nameless),1980032618,1,12.3,115.6,1009,12
(nameless),1980032700,1,12.3,115.0,1009,12
(nameless),1980032706,1,12.2,114.4,1009,12
(nameless),1980032712,1,12.2,113.6,1009,12
(nameless),1980032718,1,12.1,112.6,1009,12
Alice,1978123106,1,2.0,174.0,1002,15
Alice,1978123112,1,2.1,172.6,1000,15
Alice,1978123118,1,2.3,171.6,1000,15
Alice,1979010100,2,3.0,171.0,998,20
Alice,1979010106,2,3.7,170.1,995,20
Alice,1979010112,2,4.4,169.6,995,20
Alice,1979010118,3,5.0,169.1,990,25
Alice,1979010200,3,5.3,168.7,986,25
Alice,1979010206,3,5.6,168.0,986,25
Alice,1979010212,3,6.1,167.7,986,25
Alice,1979010218,3,6.6,168.0,986,25
Alice,1979010300,3,7.3,168.3,984,25
Alice,1979010306,3,8.0,168.0,984,25
Alice,1979010312,3,8.5,168.2,984,25
Alice,1979010318,3,9.0,168.3,984,25
Alice,1979010400,3,9.2,167.9,982,25
Alice,1979010406,3,9.3,167.3,982,30
Alice,1979010412,3,9.3,166.7,980,30
Alice,1979010418,3,9.5,165.9,980,30
Alice,1979010500,3,9.6,165.1,975,30
Alice,1979010506,3,9.7,164.2,975,30
Alice,1979010512,3,9.8,163.4,969,30
Alice,1979010518,3,10.4,162.6,967,30
Alice,1979010600,3,11.2,161.6,964,30
Alice,1979010606,4,12.0,160.4,962,35
Alice,1979010612,4,12.1,159.5,961,35
Alice,1979010618,4,12.2,158.5,958,35
Alice,1979010700,4,12.3,157.6,950,40
Alice,1979010706,4,12.4,156.5,948,40
Alice,1979010712,5,12.5,155.3,940,45
Alice,1979010718,5,12.2,154.0,928,50
Alice,1979010800,5,12.1,152.9,930,50
Alice,1979010806,5,12.0,151.5,935,50
Alice,1979010812,5,12.0,150.3,945,45
Alice,1979010818,5,11.9,149.0,957,45
Alice,1979010900,5,11.9,147.8,960,45
Alice,1979010906,4,12.1,146.7,965,40
Alice,1979010912,4,12.1,145.3,970,40
Alice,1979010918,4,11.9,144.2,970,40
Alice,1979011000,4,12.0,142.8,970,40
Alice,1979011006,4,12.2,141.5,965,40
Alice,1979011012,4,12.3,140.3,960,40
Alice,1979011018,4,12.4,139.1,950,40
Alice,1979011100,5,12.5,138.7,945,45
Alice,1979011106,5,12.7,138.1,941,45
Alice,1979011112,5,13.0,137.6,938,45
Alice,1979011118,5,13.5,137.2,940,45
Alice,1979011200,5,13.8,137.1,945,45
Alice,1979011206,5,14.2,136.8,950,45
Alice,1979011212,4,14.6,136.6,960,40
Alice,1979011218,4,15.1,136.6,965,40
Alice,1979011300,4,15.5,136.8,970,35
Alice,1979011306,4,15.9,136.9,980,35
Alice,1979011312,3,16.1,137.1,985,30
Alice,1979011318,3,16.5,137.5,985,30
Alice,1979011400,3,17.0,137.0,985,25
Alice,1979011406,3,16.8,135.8,985,25
Alice,1979011412,2,17.0,135.1,990,20
Alice,1979011418,1,17.3,134.3,994,15
Alice,1979011500,1,17.3,133.3,998,12
Alice,1979011506,0,17.2,132.3,998,10
Lingling,2014011706,1,9.8,127.9,1006,13
Lingling,2014011712,1,9.7,127.6,1006,13
Lingling,2014011718,1,9.6,127.4,1006,13
Lingling,2014011800,1,9.4,127.5,1002,15
Lingling,2014011806,2,9.1,127.8,1000,18
Lingling,2014011812,2,8.6,128.0,1000,18
Lingling,2014011818,2,8.0,128.1,1000,18
Lingling,2014011900,2,7.5,128.1,1000,18
Lingling,2014011906,1,7.2,128.1,1002,15
Lingling,2014011912,1,6.9,128.1,1006,13
Owen,1994033112,1,10.8,134.8,1004,12
Owen,1994033118,1,11.1,133.9,1002,15
Owen,1994040100,1,11.3,133.0,1000,15
Owen,1994040106,2,11.4,132.1,996,20
Owen,1994040112,2,11.6,131.6,996,20
Owen,1994040118,2,11.6,131.1,996,20
Owen,1994040200,2,11.6,130.6,996,20
Owen,1994040206,2,11.5,129.8,996,20
Owen,1994040212,2,11.4,129.2,995,20
Owen,1994040218,2,11.3,128.7,995,20
Owen,1994040300,3,11.0,128.2,990,25
Owen,1994040306,3,10.6,127.6,985,25
Owen,1994040312,3,10.4,127.1,985,25
Owen,1994040318,3,10.3,126.5,980,30
Owen,1994040400,3,10.2,125.9,980,30
Owen,1994040406,3,10.4,124.4,980,30
Owen,1994040412,3,10.7,123.1,980,30
Owen,1994040418,3,10.6,122.1,985,25
Owen,1994040500,3,10.6,121.2,990,25
Owen,1994040506,3,10.8,120.4,990,25
Owen,1994040512,3,11.3,119.7,990,25
Owen,1994040518,2,11.7,118.7,996,20
Owen,1994040600,2,11.9,117.7,996,20
Owen,1994040606,2,12.2,117.0,994,20
Owen,1994040612,3,12.5,116.4,990,25
Owen,1994040618,3,12.9,116.0,990,25
Owen,1994040700,3,13.4,115.7,990,25
Owen,1994040706,2,14.3,116.0,995,20
Owen,1994040712,2,15.3,116.5,995,20
Owen,1994040718,2,15.7,116.6,995,20
Owen,1994040800,2,16.2,116.7,995,20
Owen,1994040806,2,16.6,116.9,996,20
Owen,1994040812,2,17.1,117.2,996,20
Owen,1994040818,1,17.5,117.5,1000,15
Owen,1994040900,1,18.0,118.0,1002,15
Owen,1994040906,1,18.5,118.5,1005,12
(nameless),2004021112,0,9.8,145.0,1004,10
(nameless),2004021118,0,10.6,143.8,1004,10
(nameless),2004021200,0,11.5,142.5,1004,10
(nameless),2004021206,1,11.9,141.6,1002,15
(nameless),2004021212,1,12.1,140.2,1002,15
(nameless),2004021218,1,12.2,138.5,1002,15
(nameless),2004021300,1,12.4,137.4,1002,15
(nameless),2004021306,1,12.8,136.8,1002,15
(nameless),2004021312,1,13.4,136.0,1002,15
(nameless),2004021318,1,13.9,135.4,1000,15
(nameless),2004021400,1,14.3,135.3,1000,15
(nameless),2004021406,1,14.5,135.4,1000,15
(nameless),2004021412,1,14.7,135.5,1002,15
(nameless),2004021418,1,14.8,135.8,1002,15
(nameless),2004021500,1,14.7,136.5,1002,15
(nameless),2004021506,1,14.7,136.8,1002,15
(nameless),2004021512,1,14.3,137.0,1002,15
(nameless),2004021518,1,14.0,136.6,1002,15
(nameless),2004021600,1,13.0,136.0,1002,15
(nameless),2004021606,1,11.8,135.5,1002,15
(nameless),2004021612,1,10.0,135.0,1002,15
Sarah,1971010806,1,8.2,142.5,1000,12
Sarah,1971010812,1,8.4,141.2,1000,12
Sarah,1971010818,1,8.8,139.8,1000,12
Sarah,1971010900,1,9.5,138.6,998,15
Sarah,1971010906,2,10.7,137.7,997,20
Sarah,1971010912,2,11.1,137.1,994,20
Sarah,1971010918,2,11.2,136.4,990,20
Sarah,1971011000,3,10.9,136.4,989,25
Sarah,1971011006,3,12.0,137.1,990,25
Sarah,1971011012,2,13.4,137.6,995,20
Sarah,1971011018,2,14.4,139.1,998,20
Sarah,1971011100,2,14.8,140.3,1000,20
Sarah,1971011106,1,15.3,140.9,1000,15
Sarah,1971011112,1,16.0,141.3,1000,15
Sarah,1971011118,9,16.8,142.0,1000,15
Sarah,1971011200,9,17.6,144.0,997,20
Sarah,1971011206,9,17.8,146.1,996,20
Sarah,1971011212,9,18.0,148.0,996,20
Sarah,1971011218,9,18.8,150.5,998,15
Sarah,1971011300,9,20.8,153.4,1000,15
Sarah,1971011306,9,22.7,157.0,1002,15
Sarah,1971011312,9,23.5,161.0,1002,12
Sarah,1971011318,9,23.5,164.5,1002,12
Sarah,1971011400,9,23.5,168.5,1003,12
Sarah,1971011406,9,23.7,173.0,1004,0
Sarah,1971011412,9,24.0,177.5,1004,0
Omais,2010032206,1,7.9,142.6,1004,15
Omais,2010032212,1,8.4,141.8,1004,15
Omais,2010032218,1,8.9,140.7,1002,15
Omais,2010032300,1,9.5,139.6,1002,15
Omais,2010032306,1,10.1,138.7,1002,15
Omais,2010032312,1,10.6,137.4,1002,15
Omais,2010032318,1,10.9,136.4,1002,15
Omais,2010032400,1,11.6,135.5,1000,15
Omais,2010032406,1,12.3,134.5,1000,15
Omais,2010032412,2,13.3,133.4,998,18
Omais,2010032418,2,14.1,132.6,998,18
Omais,2010032500,2,14.8,132.3,998,18
Omais,2010032506,2,15.4,132.1,998,18
Omais,2010032512,2,16.2,132.1,998,18
Omais,2010032518,2,17.0,132.2,998,18
Omais,2010032600,2,17.4,131.6,1000,18
Omais,2010032606,1,17.6,131.8,1004,15
Omais,2010032612,1,17.7,132.1,1006,13
(nameless),1996022800,1,8.0,130.0,1004,12
(nameless),1996022806,1,8.5,130.0,1004,12
(nameless),1996022812,1,9.0,129.0,1002,15
(nameless),1996022818,1,9.5,128.0,1002,15
(nameless),1996022900,1,9.9,127.3,1002,15
(nameless),1996022906,1,10.1,126.4,1000,15
(nameless),1996022912,1,10.5,125.5,1000,15
(nameless),1996022918,1,10.9,124.5,998,15
(nameless),1996030100,1,11.0,123.2,998,15
(nameless),1996030106,1,10.8,122.2,998,15
(nameless),1996030112,1,10.6,121.6,998,15
(nameless),1996030118,1,10.3,121.1,1000,15
(nameless),1996030200,1,10.0,120.5,1002,12
Axel,1992010506,1,5.2,178.5,1000,15
Axel,1992010512,1,5.5,177.5,1000,15
Axel,1992010518,1,5.8,176.5,998,15
Axel,1992010600,2,6.1,176.1,995,20
Axel,1992010606,2,6.2,175.1,995,20
Axel,1992010612,2,6.2,174.4,995,20
Axel,1992010618,2,6.2,173.0,990,20
Axel,1992010700,2,6.1,172.2,990,20
Axel,1992010706,3,5.8,170.7,985,25
Axel,1992010712,3,5.6,169.5,985,25
Axel,1992010718,3,5.6,168.8,985,25
Axel,1992010800,3,5.8,168.5,980,30
Axel,1992010806,3,5.8,167.7,980,30
Axel,1992010812,3,6.2,166.0,980,30
Axel,1992010818,3,6.5,163.9,980,30
Axel,1992010900,3,6.8,162.3,980,30
Axel,1992010906,3,7.0,160.5,980,30
Axel,1992010912,3,7.2,159.2,980,30
Axel,1992010918,3,7.2,157.3,980,30
Axel,1992011000,3,7.3,155.8,985,25
Axel,1992011006,3,8.2,154.7,985,25
Axel,1992011012,2,8.5,153.7,990,20
Axel,1992011018,2,8.9,152.9,995,20
Axel,1992011100,2,9.6,152.4,995,20
Axel,1992011106,2,9.6,151.4,995,20
Axel,1992011112,1,9.8,150.4,998,15
Axel,1992011118,1,10.1,149.3,998,15
Axel,1992011200,1,10.3,148.0,998,15
Axel,1992011206,1,10.4,146.1,998,15
Axel,1992011212,1,10.5,144.5,998,15
Axel,1992011218,1,10.7,143.4,1000,15
Axel,1992011300,1,11.3,143.2,1000,15
Axel,1992011306,1,12.2,143.0,1000,15
Axel,1992011312,1,13.2,142.5,1002,15
Axel,1992011318,1,13.9,141.9,1002,15
Axel,1992011400,1,14.2,140.8,1004,12
Kulap,2005011400,1,6.0,150.2,1004,15
Kulap,2005011406,1,5.7,148.0,1002,15
Kulap,2005011412,1,6.0,147.4,1000,15
Kulap,2005011418,1,6.8,147.1,1000,15
Kulap,2005011500,1,7.5,146.3,1000,15
Kulap,2005011506,1,8.1,147.4,998,15
Kulap,2005011512,2,9.5,147.4,995,18
Kulap,2005011518,2,10.4,146.9,992,20
Kulap,2005011600,2,11.5,146.6,992,20
Kulap,2005011606,2,12.5,146.2,990,23
Kulap,2005011612,2,13.1,145.9,990,23
Kulap,2005011618,2,13.5,146.5,990,23
Kulap,2005011700,2,14.2,147.7,990,23
Kulap,2005011706,2,14.9,148.6,990,23
Kulap,2005011712,2,15.7,149.6,990,23
Kulap,2005011718,3,16.3,150.7,985,25
Kulap,2005011800,3,16.7,151.6,985,25
Kulap,2005011806,3,17.3,152.6,985,25
Kulap,2005011812,3,17.6,153.2,985,25
Kulap,2005011818,2,18.0,153.8,990,23
Kulap,2005011900,2,18.4,154.4,1000,18
Kulap,2005011906,1,18.7,155.1,1004,15
Kulap,2005011912,1,18.9,155.8,1010,12
Lola,1975012106,1,6.6,137.6,1002,12
Lola,1975012112,1,6.9,137.0,1002,12
Lola,1975012118,1,7.2,136.2,1002,12
Lola,1975012200,1,7.3,135.5,1002,12
Lola,1975012206,2,7.5,134.8,1000,20
Lola,1975012212,2,7.6,134.5,995,20
Lola,1975012218,3,7.8,134.2,990,25
Lola,1975012300,3,8.0,134.0,990,25
Lola,1975012306,3,8.5,133.0,985,30
Lola,1975012312,3,8.8,131.4,985,30
Lola,1975012318,4,8.8,129.7,980,35
Lola,1975012400,4,8.8,128.0,975,35
Lola,1975012406,4,9.0,126.4,975,35
Lola,1975012412,3,9.4,124.6,985,30
Lola,1975012418,3,10.2,122.7,990,25
Lola,1975012500,3,10.9,120.8,995,25
Lola,1975012506,3,11.7,118.7,995,25
Lola,1975012512,3,12.3,116.8,993,30
Lola,1975012518,3,13.0,115.1,993,30
Lola,1975012600,3,13.6,114.0,990,30
Lola,1975012606,4,14.2,113.2,990,35
Lola,1975012612,4,15.1,112.5,990,35
Lola,1975012618,4,15.7,112.3,990,35
Lola,1975012700,4,16.3,112.2,990,35
Lola,1975012706,4,16.9,112.3,990,40
Lola,1975012712,4,16.7,112.8,995,35
Lola,1975012718,3,16.0,112.7,998,30
Lola,1975012800,3,15.5,112.3,1000,25
Lola,1975012806,2,15.0,111.7,1000,20
Lola,1975012812,1,14.8,111.1,1005,15
Orchid,1987010900,1,7.2,149.1,1004,12
Orchid,1987010906,1,7.6,147.8,1004,12
Orchid,1987010912,1,8.0,146.3,1002,15
Orchid,1987010918,2,8.5,144.8,995,20
Orchid,1987011000,3,8.8,143.3,989,25
Orchid,1987011006,3,9.2,142.0,986,25
Orchid,1987011012,4,9.5,140.7,977,35
Orchid,1987011018,4,9.8,139.3,968,40
Orchid,1987011100,5,10.2,138.0,955,45
Orchid,1987011106,5,10.4,136.9,955,45
Orchid,1987011112,5,10.7,135.9,964,45
Orchid,1987011118,4,10.9,134.9,970,40
Orchid,1987011200,4,11.0,134.0,980,35
Orchid,1987011206,4,11.3,133.3,975,35
Orchid,1987011212,3,11.7,132.7,978,30
Orchid,1987011218,3,11.8,132.1,985,30
Orchid,1987011300,3,11.3,131.6,991,25
Orchid,1987011306,3,10.5,131.4,991,25
Orchid,1987011312,2,10.0,131.5,995,20
Orchid,1987011318,2,9.5,131.8,995,20
Fran,1962020212,0,5.5,128.6,1006,0
Fran,1962020218,0,5.4,128.4,1006,0
Fran,1962020300,1,5.5,128.5,1005,15
Fran,1962020306,1,5.7,129.0,1005,15
Fran,1962020312,1,5.9,129.4,1005,15
Fran,1962020318,2,6.2,129.8,1005,20
Fran,1962020400,3,6.5,130.0,1003,25
Fran,1962020406,3,7.0,129.9,1000,25
Fran,1962020412,3,7.4,129.7,1000,25
Fran,1962020418,3,7.8,129.3,1000,25
Fran,1962020500,2,8.2,128.7,1001,20
Fran,1962020506,1,8.5,128.3,1003,15
Fran,1962020512,1,8.9,128.2,1005,15
Fran,1962020518,1,9.3,128.5,1008,15
Fran,1962020600,1,9.6,128.9,1010,12
Mekkhala,2015011300,1,8.6,142.8,1004,13
Mekkhala,2015011306,1,8.5,142.3,1002,13
Mekkhala,2015011312,1,8.8,141.6,1000,15
Mekkhala,2015011318,1,9.2,140.8,1000,15
Mekkhala,2015011400,2,10.0,139.8,998,18
Mekkhala,2015011406,2,10.4,138.4,998,18
Mekkhala,2015011412,2,11.0,137.2,998,18
Mekkhala,2015011418,2,11.3,135.8,998,18
Mekkhala,2015011500,2,11.5,134.7,995,20
Mekkhala,2015011506,2,11.7,133.5,995,20
Mekkhala,2015011512,2,11.6,132.7,995,20
Mekkhala,2015011518,2,11.6,131.8,995,20
Mekkhala,2015011600,2,11.5,130.6,992,23
Mekkhala,2015011606,3,11.4,129.8,990,25
Mekkhala,2015011612,3,11.3,128.7,985,28
Mekkhala,2015011618,3,11.1,127.6,980,30
Mekkhala,2015011700,4,11.3,126.8,975,33
Mekkhala,2015011706,4,11.9,125.8,975,33
Mekkhala,2015011712,3,12.4,125.0,985,28
Mekkhala,2015011718,2,12.7,124.3,992,23
Mekkhala,2015011800,2,13.4,123.6,995,20
Mekkhala,2015011806,2,14.0,122.7,998,18
Mekkhala,2015011812,2,14.8,122.4,998,18
Mekkhala,2015011818,1,15.8,122.5,1000,15
Mekkhala,2015011900,1,16.5,122.8,1002,13
Mekkhala,2015011906,1,16.8,123.0,1002,13
Mekkhala,2015011912,1,16.8,123.5,1004,13
Mekkhala,2015011918,1,16.7,123.9,1004,13
Wilda,1973062806,0,10.5,127.8,1004,10
Wilda,1973062812,0,11.5,127.4,1004,10
Wilda,1973062818,0,12.5,126.9,1004,10
Wilda,1973062900,1,13.4,126.4,1004,15
Wilda,1973062906,1,14.2,125.6,1004,15
Wilda,1973062912,1,15.0,124.5,1004,15
Wilda,1973062918,1,15.9,123.3,1004,15
Wilda,1973063000,1,16.5,122.1,1004,15
Wilda,1973063006,1,16.9,121.0,1003,15
Wilda,1973063012,1,17.5,120.0,1003,15
Wilda,1973063018,1,17.9,119.2,1002,15
Wilda,1973070100,2,18.4,118.8,998,20
Wilda,1973070106,2,18.9,118.5,996,20
Wilda,1973070112,3,19.5,118.2,994,25
Wilda,1973070118,3,20.1,118.0,990,25
Wilda,1973070200,3,20.8,117.8,982,30
Wilda,1973070206,3,21.4,117.7,982,30
Wilda,1973070212,3,22.0,117.6,982,30
Wilda,1973070218,4,22.8,117.7,980,35
Wilda,1973070300,4,23.6,117.9,978,35
Wilda,1973070306,4,24.5,118.2,978,35
Wilda,1973070312,3,25.4,118.5,988,25
Wilda,1973070318,1,26.3,118.8,990,15
Wilda,1973070400,0,27.5,119.1,994,10
Wilda,1973070406,0,28.8,118.9,1000,9
Wilda,1973070412,0,29.4,117.1,1000,10
Wilda,1973070418,0,29.2,116.8,1000,10
Wilda,1973070500,0,29.2,116.3,1000,10
Wilda,1973070506,0,29.5,115.6,1002,10
Wilda,1973070512,0,29.8,114.9,1002,10
Wilda,1973070518,0,29.6,113.9,1002,9
Wilda,1973070600,0,28.9,112.9,1003,9
(nameless),2011040118,0,8.7,111.4,1006,10
(nameless),2011040200,1,8.9,111.3,1004,13
(nameless),2011040206,1,9.0,111.2,1004,13
(nameless),2011040212,1,9.3,111.2,1004,13
(nameless),2011040218,1,9.5,111.6,1000,15
(nameless),2011040300,1,9.3,111.8,1000,15
(nameless),2011040306,1,9.1,111.7,1004,13
(nameless),2011040312,0,8.8,111.5,1006,10
Dujuan,2021021612,1,6.7,136.3,1002,13
Dujuan,2021021618,1,6.7,135.3,1002,13
Dujuan,2021021700,1,6.5,134.2,1002,13
Dujuan,2021021706,1,6.6,133.5,1002,13
Dujuan,2021021712,1,6.6,133.1,1000,15
Dujuan,2021021718,1,6.7,132.7,1000,15
Dujuan,2021021800,2,7.0,132.6,998,18
Dujuan,2021021806,2,7.3,132.1,998,18
Dujuan,2021021812,2,7.2,131.8,995,20
Dujuan,2021021818,2,7.1,131.5,995,20
Dujuan,2021021900,2,7.0,131.2,995,20
Dujuan,2021021906,2,6.8,130.6,995,20
Dujuan,2021021912,2,6.5,130.3,990,23
Dujuan,2021021918,2,6.1,130.9,990,23
Dujuan,2021022000,2,6.4,131.4,995,20
Dujuan,2021022006,2,7.0,131.2,995,20
Dujuan,2021022012,2,7.7,130.3,998,18
Dujuan,2021022018,2,8.2,129.9,998,18
Dujuan,2021022100,2,8.7,129.6,998,18
Dujuan,2021022106,2,9.3,128.9,998,18
Dujuan,2021022112,1,10.1,127.1,1000,15
Dujuan,2021022118,1,10.9,125.7,1002,13
Dujuan,2021022200,1,12.2,124.3,1002,13
Dujuan,2021022206,1,13.0,123.7,1002,13
Dujuan,2021022212,0,13.7,123.2,1004,10
Dujuan,2021022218,0,14.1,122.3,1004,10
(nameless),1954030106,1,6.7,136.4,996,15
(nameless),1954030112,1,6.7,134.8,996,15
(nameless),1954030118,2,6.8,133.5,995,20
(nameless),1954030200,2,7.3,132.0,995,20
(nameless),1954030206,2,8.0,131.0,995,20
(nameless),1954030212,2,8.5,130.1,994,20
(nameless),1954030218,3,8.8,129.3,990,25
(nameless),1954030300,3,9.0,128.3,990,25
(nameless),1954030306,3,9.2,127.5,990,25
(nameless),1954030312,3,9.4,126.5,990,25
(nameless),1954030318,3,9.5,125.4,990,25
(nameless),1954030400,2,9.6,124.3,995,20
(nameless),1954030406,2,9.6,123.4,995,20
(nameless),1954030412,2,9.6,122.5,995,20
(nameless),1954030418,2,9.6,121.5,995,20
(nameless),1954030500,1,9.5,120.8,1000,15
(nameless),1954030506,0,9.3,120.7,1004,0
(nameless),1954030512,0,9.1,120.6,1004,0
(nameless),1954030518,0,9.0,120.4,1006,0
(nameless),1954030600,0,9.0,120.2,1008,0
(nameless),1954030606,0,9.0,120.0,1006,0
